"Time","{__name__=""container_file_descriptors"", container=""vllm-container"", endpoint=""https-metrics"", id=""/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-podcc05b530_422a_4bfb_b15f_d670940ecbe3.slice/cri-containerd-daa1f3058aaf9abceed59522d337ad23671f9c72b6f91840bbe61c58e9354ab3.scope"", image=""docker.io/vllm/vllm-openai:latest"", instance=""130.245.126.109:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""daa1f3058aaf9abceed59522d337ad23671f9c72b6f91840bbe61c58e9354ab3"", namespace=""llm-servings"", node=""sunyibm1.fsl.cs.sunysb.edu"", pod=""vllm-granite-cpuoffload-kshw6"", service=""kubelet""}"
2025-12-02 11:42:30,49
2025-12-02 11:42:45,49
2025-12-02 11:43:00,34
2025-12-02 11:43:15,34
2025-12-02 11:43:30,153
2025-12-02 11:43:45,153
2025-12-02 11:44:00,128
2025-12-02 11:44:15,128
2025-12-02 11:44:30,128
2025-12-02 11:44:45,128
2025-12-02 11:45:00,128
2025-12-02 11:45:15,128
2025-12-02 11:45:30,128
2025-12-02 11:45:45,128
2025-12-02 11:46:00,128
2025-12-02 11:46:15,128
2025-12-02 11:46:30,128
2025-12-02 11:46:45,128
2025-12-02 11:47:00,128
2025-12-02 11:47:15,128
2025-12-02 11:47:30,140
2025-12-02 11:47:45,140
2025-12-02 11:48:00,140
2025-12-02 11:48:15,140
2025-12-02 11:48:30,140
2025-12-02 11:48:45,140
2025-12-02 11:49:00,140
2025-12-02 11:49:15,140
2025-12-02 11:49:30,141
2025-12-02 11:49:45,141
2025-12-02 11:50:00,140
2025-12-02 11:50:15,140
2025-12-02 11:50:30,140
