"Time","{__name__=""container_memory_rss"", container=""vllm-container"", endpoint=""https-metrics"", id=""/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-podcc05b530_422a_4bfb_b15f_d670940ecbe3.slice/cri-containerd-daa1f3058aaf9abceed59522d337ad23671f9c72b6f91840bbe61c58e9354ab3.scope"", image=""docker.io/vllm/vllm-openai:latest"", instance=""130.245.126.109:10250"", job=""kubelet"", metrics_path=""/metrics/cadvisor"", name=""daa1f3058aaf9abceed59522d337ad23671f9c72b6f91840bbe61c58e9354ab3"", namespace=""llm-servings"", node=""sunyibm1.fsl.cs.sunysb.edu"", pod=""vllm-granite-cpuoffload-kshw6"", service=""kubelet""}"
2025-12-02 11:42:30,2.25 MiB
2025-12-02 11:42:45,2.25 MiB
2025-12-02 11:43:00,958 MiB
2025-12-02 11:43:15,958 MiB
2025-12-02 11:43:30,2.81 GiB
2025-12-02 11:43:45,2.81 GiB
2025-12-02 11:44:00,1.33 GiB
2025-12-02 11:44:15,1.33 GiB
2025-12-02 11:44:30,1.33 GiB
2025-12-02 11:44:45,1.33 GiB
2025-12-02 11:45:00,1.33 GiB
2025-12-02 11:45:15,1.33 GiB
2025-12-02 11:45:30,1.33 GiB
2025-12-02 11:45:45,1.33 GiB
2025-12-02 11:46:00,1.35 GiB
2025-12-02 11:46:15,1.35 GiB
2025-12-02 11:46:30,1.44 GiB
2025-12-02 11:46:45,1.44 GiB
2025-12-02 11:47:00,1.99 GiB
2025-12-02 11:47:15,1.99 GiB
2025-12-02 11:47:30,2.32 GiB
2025-12-02 11:47:45,2.32 GiB
2025-12-02 11:48:00,2.32 GiB
2025-12-02 11:48:15,2.32 GiB
2025-12-02 11:48:30,2.32 GiB
2025-12-02 11:48:45,2.32 GiB
2025-12-02 11:49:00,2.32 GiB
2025-12-02 11:49:15,2.32 GiB
2025-12-02 11:49:30,2.32 GiB
2025-12-02 11:49:45,2.32 GiB
2025-12-02 11:50:00,2.32 GiB
2025-12-02 11:50:15,2.32 GiB
2025-12-02 11:50:30,2.32 GiB
