"Time","vllm-llama-8dffv : egress"
2025-12-02 12:28:00,1.74 p/s
2025-12-02 12:28:15,2.10 p/s
2025-12-02 12:28:30,1.47 p/s
2025-12-02 12:28:45,1.47 p/s
2025-12-02 12:29:00,100 mp/s
2025-12-02 12:29:15,100 mp/s
2025-12-02 12:29:30,167 mp/s
2025-12-02 12:29:45,167 mp/s
2025-12-02 12:30:00,133 mp/s
2025-12-02 12:30:15,133 mp/s
2025-12-02 12:30:30,100 mp/s
2025-12-02 12:30:45,100 mp/s
2025-12-02 12:31:00,133 mp/s
2025-12-02 12:31:15,133 mp/s
2025-12-02 12:31:30,833 mp/s
2025-12-02 12:31:45,833 mp/s
2025-12-02 12:32:00,667 mp/s
2025-12-02 12:32:15,667 mp/s
2025-12-02 12:32:30,933 mp/s
2025-12-02 12:32:45,933 mp/s
2025-12-02 12:33:00,800 mp/s
2025-12-02 12:33:15,800 mp/s
2025-12-02 12:33:30,800 mp/s
2025-12-02 12:33:45,800 mp/s
2025-12-02 12:34:00,633 mp/s
2025-12-02 12:34:15,633 mp/s
2025-12-02 12:34:30,867 mp/s
2025-12-02 12:34:45,867 mp/s
2025-12-02 12:35:00,800 mp/s
2025-12-02 12:35:15,800 mp/s
2025-12-02 12:35:30,833 mp/s
2025-12-02 12:35:45,833 mp/s
